@relation 'optdigits-weka.filters.unsupervised.instance.Randomize-S42_principal components-weka.filters.unsupervised.attribute.PrincipalComponents-R0.9-A5-M20'

@attribute -0.273input3-0.26input59-0.234input11-0.232input10-0.221input4... numeric
@attribute 0.259input6+0.254input15-0.245input61+0.234input7+0.234input14... numeric
@attribute '0.321input44+0.29 input45+0.267input36+0.254input37-0.254input39...' numeric
@attribute '0.238input62+0.22 input21+0.211input29-0.196input52+0.195input54...' numeric
@attribute '0.28 input50-0.265input56-0.239input63+0.229input42-0.222input16...' numeric
@attribute -0.286input19-0.278input26-0.259input27+0.256input50+0.221input16... numeric
@attribute '0.32 input53+0.273input24+0.233input16-0.215input43+0.197input18...' numeric
@attribute -0.302input13-0.28input22-0.273input52-0.253input53-0.221input12... numeric
@attribute -0.257input51-0.244input16+0.239input2+0.235input64-0.234input8... numeric
@attribute -0.352input41-0.305input49-0.269input33-0.222input6+0.213input2... numeric
@attribute 0.276input33+0.276input41+0.257input17+0.251input25+0.221input24... numeric
@attribute 0.323input17+0.257input25-0.25input60-0.233input56+0.224input62... numeric
@attribute -0.4input48-0.298input17-0.284input25-0.254input56+0.234input37... numeric
@attribute 0.278input28-0.264input17-0.261input46+0.236input27-0.225input25... numeric
@attribute -0.474input33+0.397input57+0.312input32+0.302input49-0.248input41... numeric
@attribute -0.371input25+0.349input5-0.255input17+0.246input32+0.239input10... numeric
@attribute 0.386input57-0.34input32-0.234input5-0.227input56-0.221input24... numeric
@attribute -0.363input37-0.273input46-0.252input22-0.243input38-0.239input30... numeric
@attribute 0.729input9-0.29input25-0.224input58-0.172input2-0.15input12... numeric
@attribute -0.376input9+0.328input8-0.23input12+0.224input16+0.222input26... numeric
@attribute class {0,1,2,3,4,5,6,7,8,9}

@data
5.684317,-2.375167,-0.630342,-0.183137,1.192508,-0.26322,-0.137333,0.618896,2.001497,1.856614,0.970137,-0.559075,0.339251,-0.40418,0.481002,0.158777,-0.253909,-0.39112,0.071239,0.129911,4
0.787454,-2.664615,-4.166138,-1.386063,0.965795,0.693194,-0.754098,-2.242597,0.139624,0.76929,-0.281278,0.565214,-0.1055,-0.245791,-0.102046,-0.014464,0.351508,-0.064616,0.169023,0.901537,0
-0.516488,0.506414,5.190345,0.321183,0.320665,-1.129354,0.098963,-1.437873,-1.485959,1.253059,1.032618,-0.444462,0.294134,-0.269275,0.370729,-0.572537,0.51436,1.244671,0.469872,-0.702254,1
1.933163,4.055977,0.198851,-0.789265,-1.795762,-0.515468,-1.575308,-0.72984,0.46284,-0.699022,-0.69219,-1.076664,-0.640144,-1.108707,0.258734,0.246145,1.552044,-0.396463,-0.155067,-0.676628,7
3.621464,-1.592965,2.887101,1.231457,1.799779,0.021859,-0.885326,1.172044,0.812336,1.8226,1.203648,-0.522132,0.216566,-1.361417,0.500499,0.46188,-0.16885,0.161969,0.56337,0.732597,4
-5.906881,0.579201,1.484032,-1.123514,0.344287,1.811531,1.46448,-0.799009,2.298959,0.471692,-0.124836,2.251312,1.131702,0.265935,-0.389143,0.726269,0.890158,-0.156058,-0.513949,0.207797,2
0.842279,0.133171,2.444499,-0.020444,1.323143,-0.247144,-0.358698,-1.093912,-1.598883,0.711254,0.062408,-0.299832,0.222105,0.457724,-0.181922,-1.168844,-1.201651,0.41097,0.284817,-0.369598,8
-0.37134,2.366549,-1.40574,1.385286,-0.215827,-0.672536,0.065357,-0.582003,-0.132556,-1.312756,-0.896754,-0.328457,0.792679,-2.023656,0.725586,1.153182,-0.21479,-0.4939,-0.68207,-0.613458,3
-1.265391,-0.189169,0.387337,-2.984812,0.409842,-0.477843,-1.70493,-0.48113,-1.085164,-0.333431,0.407065,0.674328,-0.202301,1.904576,-0.380018,-1.693555,-0.096761,1.715381,1.38841,0.561607,8
1.13896,-0.876297,4.84006,-0.64908,0.89094,-1.510934,-0.521387,-0.722087,-1.220722,1.171428,0.825706,-0.261661,-0.213969,-0.032788,-0.27377,0.123858,-0.143485,1.253089,0.196065,0.076465,1
5.70227,4.010161,-0.808673,-0.065519,-1.477719,2.146688,-0.238459,0.73042,0.495397,-0.713319,-2.02459,0.54661,-0.377808,-1.584256,-0.208961,0.189762,-0.085823,-0.974511,-0.326477,-0.691646,7
-3.907085,0.930108,-1.446057,1.770737,0.884645,1.480131,0.127477,1.209052,0.475955,0.897752,0.585486,0.050044,0.735932,-1.331414,0.510888,0.362016,0.083548,0.148093,-0.350767,-0.317508,3
-1.366871,1.136183,-0.880249,-2.392747,0.42672,-3.061697,2.279936,2.257709,1.592937,-0.544402,0.747165,-1.40991,0.334283,-0.423116,0.491038,0.725162,-0.749617,0.956548,0.542556,1.118539,5
6.768008,9.855949,0.195446,-2.890977,-8.585171,7.958629,5.679107,1.480398,-6.958978,3.580054,0.717219,3.109785,0.083864,-1.551042,-1.415665,0.810415,1.262884,-0.914324,1.609144,5.731719,7
-1.120723,0.832635,-0.037563,-0.686791,0.452941,-1.180638,-1.315886,0.791342,-1.471763,-1.775195,-0.257658,-0.061091,1.297434,1.434178,0.068087,-0.679653,-1.842374,-1.10524,-0.365331,0.419575,8
